Ano,Commodities,CAPEX (R$/Ha),OPEX (R$/Ha),Preço de venda da tonelada - U$D/t,Receita (interna) - mil U$D,Receita (global) - mil U$D,Demanda (Interna) (1000 t),Demanda (Global) (1000 t),MarketShareProdução (%),MarketShareExportação (%),Área plantada (mil He),Produção (mil t),Produção / HE,,0,,,,,,,,,,,,,,,,,,,,,,
2019/2020,Café,"53,470",15065,2880,1757643.865,12366034.35,610.29,"4,293.76",44.2356708,29.0508115,1513.27,2520,1.665264229,"42,000",,,,,"94,946","161,776","22,994","138,571","40,256",0.442356708,,,,280,,,,,,,,,
2020/2021,Café,"61,400","17,411",3320,2323187.361,16881272.04,699.76,"5,084.72",52.34554378,31.63965087,1433.17,2982,2.080700042,"49,700",,,,,"94,946","161,896","22,280","144,360","45,675",0.523455438,,,,390,,,,,,,,,
2021/2022,Café,"81,500",26354.84,4510,2526673.008,18908539.55,560.24,"4,192.58",41.7963233,27.57089858,1452.58,2184,1.503534338,"36,400","	168.754",,"22,450",,"87,089","167,183","22,340","143,938","39,685",0.417963233,,,,410,,,,,,,,,
2022/2023,Café,"98,600",31075.92,5630,3438338.608,25845585.45,610.72,"4,590.69",45.33907476,25.19429826,1485.97,2388,1.607035423,"39,800","163,968",,"22,160",,"87,783","168,754","22,450","143,465","36,145",0.453390748,,,,520,,,,,,,,,
2023/2024,Café,"104,500",26929.7,4540,2787264.928,20623748,613.94,"4,542.68",46.17441382,31.72222863,1508.74,2694,1.785591194,"44,900","171,556",,"21,970",,"97,240","163,968","22,160","147,373","46,750",0.461744138,,,,450,,,,,,,,,
2024/2025,Café,"108,600",24258.35,5620,3253041.286,25401854.84,578.83,"4,519.90",43.91086095,30.12798503,1486.84,2640,1.775581318,"44,000","169,363",,"22,280",,"100,203","171,556","21,970","148,533","44,750",0.43910861,,,,370,,,,,,,,,
2025/2026,Café,"112,400",27082.23,8470,4504658.41,35150084.1,531.84,"4,149.95",39.78432707,27.149472,1548.37,2280,1.472515308,"38,000","173,852",,"22,280",,"95,515","173,852","22,280","150,095","40,750",0.397843271,,,,,,,,,,,,,
2018/2019,Citros,"53,261.46","18,739.91",790,41080,1336653.93,52.00,"1,691.97",63.3682018,69.78871467,378.423,11.668,0.030833221,,,,,,,,,,,,,,,,,,,,,,,,
2019/2020,Citros,"49,630.31","19,842.34",560,35280,943008.64,63.00,"1,683.94",63.8295411,72.67431664,370.048,15.781,0.042645819,,,,,,,,,,,,,,,,,,,,,,,,
2020/2021,Citros,"55,314.48","20,786.68",600,42000,989119.8,70.00,"1,648.53",60.54549956,68.97248749,364.444,10.96,0.030073207,,,,,,,,,,,,,,,,,,,,,,,,
2021/2022,Citros,"52,971.88","25,223.82",650,47450,1038792.95,73.00,"1,598.14",67.22432253,71.09993869,346.013,10.729,0.031007505,,,,,,,,,,,,,,,,,,,,,,,,
2022/2023,Citros,"85,401.25","32,173.12",920,69000,1341742.72,75.00,"1,458.42",74.84310366,73.69415994,344.389,12.82,0.037225347,,,,,,,,,,,,,,,,,,,,,,,,
2023/2024,Citros,"98,218.85","33,350.77",1570,86350,2124388.98,55.00,"1,353.11",66.87714853,68.88446222,337.091,12.535,0.037185804,,,,,,,,,,,,,,,,,,,,,,,,
2024/2025,Citros,"96,166.67","37,684.31",2260,131080,2540108.92,58.00,"1,123.94",75.56770533,77.04610295,336.267,9.419,0.02801048,,,,,,,,,,,,,,,,,,,,,,,,
2025/2026,Citros,"111,764.79","43,278.86",1420,83780,1659116.64,59.00,"1,168.39",76.38116129,76.48257902,362.16,11.952,0.033001988,,,,,,,,,,,,,,,,,,,,,,,,
2018/2019,Cana,"13,020.83","5,000.00",38.46,"23,862,560.53","78,566,999.17","631,591.77","2,079,503.15",0.30,0.34,"8,589.23","620,435.39",72.23,,,,,,,,,,,,,,,,,,,,,,,,
2019/2020,Cana,"13,888.89","5,400.00",37.85,"24,330,022.71","78,437,078.69","653,732.38","2,107,554.88",0.31,0.36,"8,442.02","642,717.77",76.13,,,,,,,,,,,,,,,,,,,,,,,,
2020/2021,Cana,"7,465.28","8,350.00",36.26,"23,656,266.00","72,196,329.30","684,939.45","2,090,360.09",0.33,0.50,"8,620.26","652,325.92",75.67,,,0,,,,,,,,,,,,,,,,,,,,,
2021/2022,Cana,"12,909.67","7,249.52",52.44,"30,690,868.14","207,917,154.87","615,465.53","4,169,508.71",0.15,0.40,"8,317.99","585,209.09",70.35,,,,,Fazer regra de 3,,,,,,,,,,,,,,,,,,,
2022/2023,Cana,"17,089.61","10,702.98",55.35,"33,771,095.89","112,088,394.95","680,840.78","2,259,753.45",0.30,0.45,"8,288.87","610,131.37",73.61,,,,,,,,,,,,,,,,,,,,,,,,
2023/2024,Cana,"17,529.42","9,375.73",56.72,"40,454,161.51","120,387,399.35","775,285.46","2,307,169.31",0.34,0.57,"8,333.93","713,214.13",85.58,,,,,Commodity,Attribute,,Country,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,Unit Description,,,,,,,
2024/2025,Cana,"12,017.61","10,723.65",52.68,"36,190,991.63","107,207,515.35","778,648.20","2,306,566.79",0.34,0.55,"8,853.83","687,058.66",77.60,,,,,"Sugar, Centrifugal",Human Dom. Consumption,,Brazil,"10,600","10,650","10,150","9,500","9,500","9,500","9,000","9,000",(1000 MT),,,,,,,
2025/2026,Cana,"23,249.61","8,531.00",52.13,"35,101,259.58","100,289,313.09","804,516.04","2,298,617.26",0.35,0.54,"8,954.65","673,283.84",75.19,,,,,,,,World,"171,979","171,456","171,275","174,026","176,568","177,015","175,772","178,113",(1000 MT),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"66,500","68,000","70,500","71,500","78,000","84,000","92,500","96,000",,,,,Commodity,Attribute,Country,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,Unit Description,,,,,,,,
,,,,,,,,,,,,,,,,,,"Sugar, Centrifugal",Exports,Brazil,"19,600","19,280","32,150","25,950","28,200","35,974","34,890","35,700",(1000 MT),,,,,,,,
,,,,,,,,,,,,,,,,,,,,World,"58,285","53,524","64,033","64,664","62,008","62,937","63,388","66,001",(1000 MT),,,,,,,,
,,,,,,"1,131,999","1,135,478","1,153,724","1,182,293","1,167,488","1,226,187","1,249,398","1,288,357",,Thousand 60-Kilogram Bags,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
